k_size,n,c,h,kernel,time_ms,gflops,arith_intensity,case,w,stride,group_medians_ms,source
3,2,64,64,initial,0.003658,644.969,1.798244,k3_small,64,2,"0.003658",fp16_report_20260712
3,2,64,64,skill_final,0.002254,1046.715,1.798244,k3_small,64,2,"0.002254 / 0.002254 / 0.002254",fp16_report_20260712
3,2,64,64,cudnn_nchw,0.014864,158.726,1.798244,k3_small,64,2,"0.014864",fp16_report_20260712_with_bias
3,64,128,80,initial,0.143440,1644.796,1.799965,k3_throughput,80,2,"0.143440",fp16_report_20260712
3,64,128,80,skill_final,0.142848,1651.613,1.799965,k3_throughput,80,2,"0.142848 / 0.142848 / 0.142848",fp16_report_20260712
3,64,128,80,cudnn_nchw,0.227392,1037.546,1.799965,k3_throughput,80,2,"0.227392",fp16_report_20260712_with_bias
5,1,32,80,initial,0.005732,446.615,4.983803,k5_small,80,2,"0.005732",fp16_report_20260712
5,1,32,80,skill_final,0.002448,1045.752,4.983803,k5_small,80,2,"0.002450 / 0.002448 / 0.002448",fp16_report_20260712
5,1,32,80,cudnn_nchw,0.015012,170.530,4.983803,k5_small,80,2,"0.015012",fp16_report_20260712_with_bias
5,64,128,80,initial,0.176888,3704.943,4.999746,k5_throughput,80,2,"0.176888",fp16_report_20260712
5,64,128,80,skill_final,0.164816,3976.313,4.999746,k5_throughput,80,2,"0.164856 / 0.164816 / 0.164808",fp16_report_20260712
5,64,128,80,cudnn_nchw,0.302000,2170.066,4.999746,k5_throughput,80,2,"0.302000",fp16_report_20260712_with_bias
7,64,128,80,initial,0.315904,4066.126,9.799043,k7_throughput,80,2,"0.315904",fp16_report_20260712
7,64,128,80,skill_final,0.288000,4460.089,9.799043,k7_throughput,80,2,"0.288000 / 0.288000 / 0.288000",fp16_report_20260712
7,64,128,80,cudnn_nchw,0.446200,2878.766,9.799043,k7_throughput,80,2,"0.446200",fp16_report_20260712_with_bias
7,4,128,80,initial,0.022176,3620.202,9.784711,k7_main,80,2,"0.022176",fp16_report_20260712
7,4,128,80,skill_final,0.017808,4508.176,9.784711,k7_main,80,2,"0.017748 / 0.017808 / 0.017808",fp16_report_20260712
7,4,128,80,cudnn_nchw,0.030880,2599.793,9.784711,k7_main,80,2,"0.030880",fp16_report_20260712_with_bias
7,1,32,43,initial,0.007988,190.013,9.952161,k7_small,43,2,"0.007988",fp16_report_20260712
7,1,32,43,skill_final,0.003066,495.050,9.952161,k7_small,43,2,"0.003066 / 0.003066 / 0.003066",fp16_report_20260712
7,1,32,43,cudnn_nchw,0.015086,100.611,9.952161,k7_small,43,2,"0.015086",fp16_report_20260712_with_bias
9,1,32,80,initial,0.012548,661.014,16.035635,k9_pair,80,2,"0.012548",fp16_report_20260712
9,1,32,80,skill_final,0.004108,2019.085,16.035635,k9_pair,80,2,"0.004108 / 0.004108 / 0.004111",fp16_report_20260712
9,1,32,80,cudnn_nchw,0.015400,538.597,16.035635,k9_pair,80,2,"0.015400",fp16_report_20260712_with_bias
9,64,128,80,initial,0.480440,4419.629,16.197406,k9_throughput,80,2,"0.480440",fp16_report_20260712
9,64,128,80,skill_final,0.170294,12468.827,16.197406,k9_throughput,80,2,"0.172288 / 0.169806 / 0.170294",fp16_report_20260712
9,64,128,80,cudnn_nchw,0.586036,3623.270,16.197406,k9_throughput,80,2,"0.586036",fp16_report_20260712_with_bias
11,64,128,80,initial,0.697088,4550.275,24.194235,k11_throughput,80,2,"0.697088",fp16_report_20260712
11,64,128,80,skill_final,0.215854,14694.851,24.194235,k11_throughput,80,2,"0.215808 / 0.215854 / 0.216888",fp16_report_20260712
11,64,128,80,cudnn_nchw,0.832120,3811.881,24.194235,k11_throughput,80,2,"0.832120",fp16_report_20260712_with_bias
11,1,32,43,initial,0.015108,248.087,23.854990,k11_tail,43,2,"0.015108",fp16_report_20260712
11,1,32,43,skill_final,0.005307,706.255,23.854990,k11_tail,43,2,"0.005307 / 0.005307 / 0.005308",fp16_report_20260712
11,1,32,43,cudnn_nchw,0.015408,243.256,23.854990,k11_tail,43,2,"0.015408",fp16_report_20260712_with_bias
11,1,32,65,initial,0.014628,716.272,24.289763,k11_rectangular,81,2,"0.014628",fp16_report_20260712
11,1,32,65,skill_final,0.005404,1938.866,24.289763,k11_rectangular,81,2,"0.005403 / 0.005404 / 0.005404",fp16_report_20260712
11,1,32,65,cudnn_nchw,0.015671,668.600,24.289763,k11_rectangular,81,2,"0.015671",fp16_report_20260712_with_bias
11,1,32,43,initial,0.014784,968.524,58.567801,k11_stride1,43,1,"0.014784",fp16_report_20260712
11,1,32,43,skill_final,0.005343,2679.891,58.567801,k11_stride1,43,1,"0.005340 / 0.005343 / 0.005343",fp16_report_20260712
11,1,32,43,cudnn_nchw,0.015588,918.569,58.567801,k11_stride1,43,1,"0.015588",fp16_report_20260712_with_bias
